iphone_model,release_date
iPhone,"June 29, 2007"
iPhone 3G,"June 9, 2008"
iPhone 3Gs,"June 19, 2009"
iPhone 4,"June 24, 2010"
iPhone 4s,"October 14, 2011"
iPhone 5,"September 21, 2012"
iPhone 5s,"September 20, 2013"
iPhone 5c,"September 20, 2013"
iPhone 6 & 6 Plus,"September 25, 2014"
iPhone 6s & 6s Plus,"September 25, 2015"
iPhone SE,"March 31, 2016"
iPhone 7 & 7 Plus,"September 25, 2016"
iPhone 8 & 8 Plus,"September 22, 2017"
iPhone X,"November 3, 2017"
iPhone XR,"October 26, 2018"
iPhone XS,"September 21, 2018"
iPhone XS Max,"September 21, 2018"
iPhone 11,"September 20, 2019"
iPhone 11 Pro,"September 20, 2019"
iPhone 11 Pro Max,"September 20, 2019"
iPhone SE (2020),"April 24, 2020"
iPhone 12,"October 23, 2020"
iPhone 12 Mini,"November 13, 2020"
iPhone 12 Pro,"November 13, 2020"
iPhone 12 Pro Max,"November 13, 2020"
iPhone 13,"September 24, 2021"
iPhone 13 Mini,"September 24, 2021"
iPhone 13 Pro,"September 24, 2021"
iPhone 13 Pro Max,"September 24, 2021"
iPhone SE 3,"March 8, 2022"
iPhone 14,"September 16, 2022"
iPhone 14 Plus,"September 16, 2022"
iPhone 14 Pro,"September 16, 2022"
iPhone 14 Pro Max,"September 16, 2022"
iPhone 15,"September 22, 2023"
iPhone 15 Plus,"September 22, 2023"
iPhone 15 Pro,"September 22, 2023"
iPhone 15 Pro Max,"September 22, 2023"
iPhone 16,"September 20, 2024"
iPhone 16 Plus,"September 20, 2024"
iPhone 16 Pro,"September 20, 2024"
iPhone 16 Pro Max,"September 20, 2024"
